WeekEnding,HealthBoardOfTreatment,HealthBoardOfTreatmentQF,InfluenzaAdmissions,InfluenzaAdmissionsQF,RSVAdmissions,RSVAdmissionsQF
20201227,S08000016,,0,,0,
20201227,S08000017,,0,,0,
20201227,S08000029,,0,,0,
20201227,S08000019,,0,,0,
20201227,S08000020,,0,,0,
20201227,S08000031,,0,,0,
20201227,S08000022,,0,,0,
20201227,S08000032,,0,,0,
20201227,S08000024,,0,,1,
20201227,S08000025,,0,,0,
20201227,S08000026,,0,,0,
20201227,S08000030,,0,,0,
20201227,S08000028,,0,,0,
20201227,SB0801,,,:,0,
20201227,S92000003,d,0,,1,
20210103,S08000015,,0,,0,
20210103,S08000016,,0,,0,
20210103,S08000017,,0,,0,
20210103,S08000029,,0,,0,
20210103,S08000019,,0,,0,
20210103,S08000020,,0,,0,
20210103,S08000031,,1,,0,
20210103,S08000022,,0,,0,
20210103,S08000032,,0,,0,
20210103,S08000024,,0,,2,
20210103,S08000025,,0,,0,
20210103,S08000026,,0,,0,
20210103,S08000030,,0,,0,
20210103,S08000028,,0,,0,
20210103,SB0801,,,:,0,
20210103,S92000003,d,1,,2,
20210110,S08000015,,0,,0,
20210110,S08000016,,0,,0,
20210110,S08000017,,0,,0,
20210110,S08000029,,0,,0,
20210110,S08000019,,0,,1,
20210110,S08000020,,2,,0,
20210110,S08000031,,1,,0,
20210110,S08000022,,0,,0,
20210110,S08000032,,0,,1,
20210110,S08000024,,0,,1,
20210110,S08000025,,0,,0,
20210110,S08000026,,0,,0,
20210110,S08000030,,0,,0,
20210110,S08000028,,0,,1,
20210110,SB0801,,,:,0,
20210110,S92000003,d,3,,4,
20210117,S08000015,,0,,0,
20210117,S08000016,,0,,0,
20210117,S08000017,,0,,1,
20210117,S08000029,,0,,0,
20210117,S08000019,,0,,1,
20210117,S08000020,,0,,0,
20210117,S08000031,,0,,0,
20210117,S08000022,,0,,0,
20210117,S08000032,,0,,1,
20210117,S08000024,,0,,3,
20210117,S08000025,,0,,0,
20210117,S08000026,,0,,0,
20210117,S08000030,,0,,0,
20210117,S08000028,,0,,0,
20210117,SB0801,,,:,0,
20210117,S92000003,d,0,,6,
20210124,S08000015,,0,,0,
20210124,S08000016,,0,,0,
20210124,S08000017,,0,,0,
20210124,S08000029,,0,,0,
20210124,S08000019,,0,,1,
20210124,S08000020,,3,,1,
20210124,S08000031,,0,,1,
20210124,S08000022,,0,,0,
20210124,S08000032,,0,,1,
20210124,S08000024,,0,,2,
20210124,S08000025,,0,,0,
20210124,S08000026,,0,,0,
20210124,S08000030,,0,,0,
20210124,S08000028,,0,,0,
20210124,SB0801,,,:,0,
20210124,S92000003,d,3,,6,
20210131,S08000015,,0,,0,
20210131,S08000016,,0,,0,
20210131,S08000017,,0,,0,
20210131,S08000029,,0,,0,
20210131,S08000019,,0,,0,
20210131,S08000020,,0,,0,
20210131,S08000031,,0,,0,
20210131,S08000022,,0,,0,
20210131,S08000032,,1,,0,
20210131,S08000024,,0,,1,
20210131,S08000025,,0,,0,
20210131,S08000026,,0,,0,
20210131,S08000030,,0,,0,
20210131,S08000028,,0,,0,
20210131,SB0801,,,:,0,
20210131,S92000003,d,1,,1,
20210207,S08000015,,0,,0,
20210207,S08000016,,0,,0,
20210207,S08000017,,0,,0,
20210207,S08000029,,0,,1,
20210207,S08000019,,0,,1,
20210207,S08000020,,0,,0,
20210207,S08000031,,0,,0,
20210207,S08000022,,0,,0,
20210207,S08000032,,0,,0,
20210207,S08000024,,0,,2,
20210207,S08000025,,0,,0,
20210207,S08000026,,0,,0,
20210207,S08000030,,0,,0,
20210207,S08000028,,0,,0,
20210207,SB0801,,,:,0,
20210207,S92000003,d,0,,4,
20210214,S08000015,,0,,0,
20210214,S08000016,,0,,0,
20210214,S08000017,,0,,0,
20210214,S08000029,,1,,0,
20210214,S08000019,,0,,2,
20210214,S08000020,,0,,0,
20210214,S08000031,,0,,1,
20210214,S08000022,,0,,0,
20210214,S08000032,,0,,1,
20210214,S08000024,,0,,4,
20210214,S08000025,,0,,0,
20210214,S08000026,,0,,0,
20210214,S08000030,,0,,0,
20210214,S08000028,,0,,0,
20210214,SB0801,,,:,1,
20210214,S92000003,d,1,,9,
20210221,S08000015,,0,,1,
20210221,S08000016,,0,,0,
20210221,S08000017,,0,,1,
20210221,S08000029,,0,,0,
20210221,S08000019,,0,,2,
20210221,S08000020,,0,,0,
20210221,S08000031,,0,,0,
20210221,S08000022,,0,,0,
20210221,S08000032,,0,,0,
20210221,S08000024,,0,,1,
20210221,S08000025,,0,,0,
20210221,S08000026,,0,,0,
20210221,S08000030,,0,,0,
20210221,S08000028,,0,,0,
20210221,SB0801,,,:,0,
20210221,S92000003,d,0,,5,
20210228,S08000015,,0,,0,
20210228,S08000016,,0,,0,
20210228,S08000017,,0,,1,
20210228,S08000029,,0,,0,
20210228,S08000019,,0,,0,
20210228,S08000020,,0,,1,
20210228,S08000031,,2,,2,
20210228,S08000022,,0,,0,
20210228,S08000032,,0,,0,
20210228,S08000024,,0,,4,
20210228,S08000025,,0,,0,
20210228,S08000026,,0,,0,
20210228,S08000030,,0,,0,
20210228,S08000028,,0,,0,
20210228,SB0801,,,:,0,
20210228,S92000003,d,2,,8,
20210307,S08000015,,0,,0,
20210307,S08000016,,0,,0,
